
2025/01/25 (13:30:01) | ===> btop++ v.1.4.0
2025/01/25 (13:30:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (13:48:19) | ===> btop++ v.1.4.0
2025/01/25 (13:48:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (18:42:20) | ===> btop++ v.1.4.0
2025/01/25 (18:42:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (14:08:06) | ===> btop++ v.1.4.0
2025/01/26 (14:08:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (14:08:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/26 (14:08:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (17:21:19) | ===> btop++ v.1.4.0
2025/01/26 (17:21:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (17:21:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/26 (17:21:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (19:58:21) | ===> btop++ v.1.4.0
2025/01/26 (19:58:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (19:58:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/26 (19:58:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (20:01:56) | ===> btop++ v.1.4.0
2025/01/26 (20:01:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (20:01:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/26 (20:01:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (21:42:51) | ===> btop++ v.1.4.0
2025/01/26 (21:42:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (21:42:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/26 (21:42:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (12:54:07) | ===> btop++ v.1.4.0
2025/01/27 (12:54:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/27 (12:54:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/27 (12:54:07) | WARNING: Intel GPU: Failed to initialize PMU
